ProductID,ProductName,Category,SubCategory,Brand,SupplierID,CostPrice,ListPrice,MarginPct,IsActive,LaunchDate,Weight_kg
PRD00030,Air Conditioner Plus,Electronics,Large Appliances,Brand12,SUP056,4909.82,5341.62,8.08,True,2018-12-04,12.71
PRD00031,Air Conditioner Lite,Electronics,Large Appliances,Brand10,SUP173,17664.53,19956.92,11.49,True,2022-02-20,3.36
PRD00032,Air Conditioner Pro,Electronics,Large Appliances,Brand20,SUP195,4442.99,5140.29,13.57,True,2019-07-18,23.9
PRD00033,Air Conditioner Max,Electronics,Large Appliances,Brand02,SUP120,8213.39,9500.61,13.55,True,2021-11-03,3.59
PRD00034,Air Conditioner Plus,Electronics,Large Appliances,Brand30,SUP037,11287.97,13094.7,13.8,True,2023-06-13,19.64
PRD00035,Air Conditioner Elite,Electronics,Large Appliances,Brand42,SUP051,1988.37,2176.77,8.65,True,2022-05-15,15.19
PRD00036,Air Conditioner Elite,Electronics,Large Appliances,Brand21,SUP024,21684.85,24535.55,11.62,True,2020-02-18,21.7
PRD00037,Microwave Oven,Electronics,Large Appliances,Brand12,SUP199,12094.06,13361.69,9.49,True,2022-12-03,1.76
PRD00038,Microwave Oven Plus,Electronics,Large Appliances,Brand42,SUP064,15351.0,16846.47,8.88,True,2019-11-25,4.22
PRD00039,Microwave Oven Max,Electronics,Large Appliances,Brand06,SUP109,8173.39,8974.02,8.92,True,2018-03-05,1.43
PRD00040,Microwave Oven Premium,Electronics,Large Appliances,Brand20,SUP166,15274.76,17374.32,12.08,True,2019-09-24,21.29
PRD00041,Microwave Oven Select,Electronics,Large Appliances,Brand12,SUP046,2582.53,2840.72,9.09,True,2019-12-12,1.33
PRD00042,Microwave Oven Select,Electronics,Large Appliances,Brand06,SUP019,10233.51,11516.77,11.14,True,2023-05-25,2.57
PRD00043,Microwave Oven Elite,Electronics,Large Appliances,Brand49,SUP065,21124.85,24398.08,13.42,True,2022-08-18,19.5
PRD00044,Microwave Oven Elite,Electronics,Large Appliances,Brand26,SUP194,4693.25,5286.17,11.22,True,2023-10-11,16.03
PRD00045,Microwave Oven Lite,Electronics,Large Appliances,Brand24,SUP034,7750.29,8501.72,8.84,True,2020-05-10,9.22
PRD00046,Microwave Oven Plus,Electronics,Large Appliances,Brand35,SUP048,9164.71,10214.42,10.28,True,2019-09-25,12.07
PRD00047,Microwave Oven Select,Electronics,Large Appliances,Brand43,SUP098,9184.77,10344.68,11.21,True,2021-07-15,15.86
PRD00048,Microwave Oven Pro,Electronics,Large Appliances,Brand11,SUP120,8253.01,9422.25,12.41,True,2022-12-04,15.4
PRD00049,Dishwasher,Electronics,Large Appliances,Brand05,SUP105,3778.84,4311.49,12.35,True,2023-12-26,20.04
PRD00050,Dishwasher Select,Electronics,Large Appliances,Brand40,SUP187,15333.58,17563.38,12.7,True,2023-09-16,2.47
PRD00051,Dishwasher Plus,Electronics,Large Appliances,Brand29,SUP002,15854.64,17428.0,9.03,True,2021-09-15,19.12
PRD00052,Dishwasher Elite,Electronics,Large Appliances,Brand30,SUP028,20097.5,22569.52,10.95,True,2023-10-04,2.28
PRD00053,Dishwasher Select,Electronics,Large Appliances,Brand39,SUP042,16820.98,18796.84,10.51,True,2022-09-25,19.09
PRD00054,Dishwasher Max,Electronics,Large Appliances,Brand16,SUP063,7844.65,8734.25,10.19,True,2018-02-26,11.0
PRD00055,Dishwasher Plus,Electronics,Large Appliances,Brand28,SUP190,10458.44,11935.88,12.38,True,2023-08-13,9.47
PRD00056,Dishwasher Premium,Electronics,Large Appliances,Brand48,SUP085,24440.19,27870.03,12.31,True,2018-11-18,3.14
PRD00057,Dishwasher Max,Electronics,Large Appliances,Brand01,SUP020,15207.88,17304.61,12.12,True,2020-06-08,11.52
PRD00058,Dishwasher Max,Electronics,Large Appliances,Brand46,SUP148,11825.63,13112.14,9.81,True,2022-05-27,21.99
PRD00059,Dishwasher Pro,Electronics,Large Appliances,Brand06,SUP134,8154.58,9375.38,13.02,True,2023-02-18,2.35
PRD00060,Dishwasher Elite,Electronics,Large Appliances,Brand13,SUP091,22363.75,24354.48,8.17,True,2018-10-06,22.77
PRD00061,Mixer Grinder,Electronics,Small Appliances,Brand01,SUP032,16784.03,18286.64,8.22,True,2018-12-22,6.04
PRD00062,Mixer Grinder Classic,Electronics,Small Appliances,Brand41,SUP194,21260.05,23195.33,8.34,True,2023-11-19,20.97
PRD00063,Mixer Grinder Plus,Electronics,Small Appliances,Brand07,SUP140,2505.51,2759.7,9.21,True,2021-07-18,21.29
PRD00064,Mixer Grinder Pro,Electronics,Small Appliances,Brand10,SUP004,5172.06,5904.7,12.41,True,2019-07-27,15.33
PRD00065,Mixer Grinder Pro,Electronics,Small Appliances,Brand03,SUP044,2838.04,3214.01,11.7,True,2023-05-05,2.38
PRD00066,Mixer Grinder Eco,Electronics,Small Appliances,Brand23,SUP109,5828.38,6767.76,13.88,True,2022-11-16,3.71
PRD00067,Mixer Grinder Lite,Electronics,Small Appliances,Brand29,SUP108,23499.12,26054.57,9.81,True,2022-06-26,3.8
PRD00068,Mixer Grinder Select,Electronics,Small Appliances,Brand24,SUP026,13356.07,14910.36,10.42,True,2018-12-08,7.69
PRD00069,Mixer Grinder Lite,Electronics,Small Appliances,Brand32,SUP195,11491.66,13009.32,11.67,True,2020-11-06,14.75
PRD00070,Mixer Grinder Elite,Electronics,Small Appliances,Brand21,SUP096,8922.42,9721.14,8.22,True,2020-02-16,14.19
PRD00071,Mixer Grinder Eco,Electronics,Small Appliances,Brand33,SUP124,17843.9,20251.31,11.89,True,2019-05-15,10.84
PRD00072,Mixer Grinder Select,Electronics,Small Appliances,Brand26,SUP162,16082.84,17902.43,10.16,True,2022-02-25,12.64
PRD00073,Juicer,Electronics,Small Appliances,Brand16,SUP104,13632.38,15633.32,12.8,True,2023-01-04,1.89
PRD00074,Juicer Pro,Electronics,Small Appliances,Brand15,SUP114,21088.19,23005.32,8.33,True,2020-09-09,18.59
PRD00075,Juicer Classic,Electronics,Small Appliances,Brand43,SUP084,1915.27,2200.52,12.96,True,2020-03-17,3.08
PRD00076,Juicer Pro,Electronics,Small Appliances,Brand50,SUP090,10032.01,11631.39,13.75,True,2022-10-19,17.66
PRD00077,Juicer Lite,Electronics,Small Appliances,Brand01,SUP135,10563.23,11982.61,11.85,True,2019-06-05,4.23
PRD00078,Juicer Select,Electronics,Small Appliances,Brand28,SUP041,20956.35,24349.39,13.93,True,2023-08-04,11.26
PRD00079,Juicer Premium,Electronics,Small Appliances,Brand38,SUP009,10672.87,11661.83,8.48,True,2020-12-05,4.61
PRD00080,Juicer Eco,Electronics,Small Appliances,Brand12,SUP039,22597.13,24633.83,8.27,True,2019-12-16,12.38
PRD00081,Juicer Premium,Electronics,Small Appliances,Brand43,SUP171,3524.37,3892.7,9.46,True,2021-05-19,19.1
PRD00082,Juicer Classic,Electronics,Small Appliances,Brand27,SUP177,2921.66,3253.51,10.2,True,2020-04-14,19.24
PRD00083,Juicer Lite,Electronics,Small Appliances,Brand46,SUP061,21320.46,23963.31,11.03,True,2021-05-10,12.52
PRD00084,Juicer Pro,Electronics,Small Appliances,Brand20,SUP200,13890.45,15202.4,8.63,True,2023-05-05,8.54
PRD00085,Electric Kettle,Electronics,Small Appliances,Brand47,SUP139,6015.4,6549.08,8.15,True,2020-02-17,0.28
PRD00086,Electric Kettle Max,Electronics,Small Appliances,Brand32,SUP143,8018.16,9134.19,12.22,True,2023-11-13,19.06
PRD00087,Electric Kettle Elite,Electronics,Small Appliances,Brand49,SUP125,22509.62,25673.69,12.32,True,2022-01-04,18.34
PRD00088,Electric Kettle Select,Electronics,Small Appliances,Brand33,SUP084,11774.06,13276.81,11.32,True,2023-02-08,18.37
PRD00089,Electric Kettle Pro,Electronics,Small Appliances,Brand07,SUP060,18955.87,21080.57,10.08,True,2018-12-14,24.64
PRD00090,Electric Kettle Elite,Electronics,Small Appliances,Brand21,SUP015,12350.76,14339.26,13.87,True,2022-03-15,20.07
PRD00091,Electric Kettle Elite,Electronics,Small Appliances,Brand02,SUP012,23004.96,26422.89,12.94,False,2020-05-03,16.92
PRD00092,Electric Kettle Pro,Electronics,Small Appliances,Brand44,SUP148,18104.76,20724.86,12.64,True,2022-05-02,5.94
PRD00093,Electric Kettle Lite,Electronics,Small Appliances,Brand01,SUP191,15987.48,18407.89,13.15,True,2021-07-01,10.09
PRD00094,Electric Kettle Elite,Electronics,Small Appliances,Brand12,SUP084,22331.34,25385.08,12.03,True,2023-10-24,7.54
PRD00095,Electric Kettle Plus,Electronics,Small Appliances,Brand14,SUP110,15255.67,17022.93,10.38,True,2023-09-03,8.61
PRD00096,Electric Kettle Max,Electronics,Small Appliances,Brand50,SUP128,18206.29,20889.45,12.84,True,2019-07-04,14.41
PRD00097,Air Fryer,Electronics,Small Appliances,Brand30,SUP013,24693.92,28126.89,12.21,True,2020-03-14,3.45
PRD00098,Air Fryer Lite,Electronics,Small Appliances,Brand11,SUP111,10042.65,10963.95,8.4,True,2018-12-18,8.65
PRD00099,Air Fryer Select,Electronics,Small Appliances,Brand38,SUP101,11317.35,13122.36,13.76,True,2021-05-25,5.95
PRD00100,Air Fryer Elite,Electronics,Small Appliances,Brand27,SUP197,9114.82,10531.81,13.45,True,2022-08-18,7.55
PRD00101,Air Fryer Plus,Electronics,Small Appliances,Brand08,SUP070,7168.8,7959.58,9.93,True,2023-01-16,19.82
PRD00102,Air Fryer Premium,Electronics,Small Appliances,Brand24,SUP190,19740.12,22088.16,10.63,True,2023-04-22,22.57
PRD00103,Air Fryer Plus,Electronics,Small Appliances,Brand29,SUP064,19827.39,21814.97,9.11,True,2018-04-26,12.87
PRD00104,Air Fryer Select,Electronics,Small Appliances,Brand48,SUP148,11609.14,12648.2,8.22,False,2018-01-07,1.73
PRD00105,Air Fryer Premium,Electronics,Small Appliances,Brand16,SUP010,12122.36,13635.42,11.1,True,2018-08-11,1.61
PRD00106,Air Fryer Select,Electronics,Small Appliances,Brand16,SUP099,17755.55,19563.65,9.24,True,2020-02-01,2.89
PRD00107,Air Fryer Pro,Electronics,Small Appliances,Brand26,SUP055,21569.57,23447.07,8.01,True,2020-05-12,19.54
PRD00108,Air Fryer Elite,Electronics,Small Appliances,Brand17,SUP120,21069.9,23297.64,9.56,True,2019-11-19,5.78
PRD00109,Induction Cooktop,Electronics,Small Appliances,Brand03,SUP099,9239.8,10692.02,13.58,True,2020-03-05,1.28
PRD00110,Induction Cooktop Pro,Electronics,Small Appliances,Brand01,SUP187,4777.91,5524.42,13.51,False,2019-02-03,15.54
PRD00111,Induction Cooktop Elite,Electronics,Small Appliances,Brand30,SUP138,7174.98,8099.57,11.42,False,2023-04-24,15.52
PRD00112,Induction Cooktop Select,Electronics,Small Appliances,Brand43,SUP059,5346.58,6120.0,12.64,True,2019-07-13,15.13
PRD00113,Induction Cooktop Classic,Electronics,Small Appliances,Brand41,SUP030,24394.25,27155.78,10.17,True,2019-02-17,5.49
PRD00114,Induction Cooktop Premium,Electronics,Small Appliances,Brand04,SUP173,11170.05,12398.19,9.91,True,2018-05-01,4.22
PRD00115,Induction Cooktop Elite,Electronics,Small Appliances,Brand37,SUP166,18381.12,20946.8,12.25,True,2019-02-17,3.24
PRD00116,Induction Cooktop Pro,Electronics,Small Appliances,Brand09,SUP159,4905.68,5584.7,12.16,True,2021-04-01,0.51
PRD00117,Induction Cooktop Lite,electronics,Small Appliances,Brand07,SUP115,24589.74,27787.48,11.51,True,2023-05-15,15.58
PRD00118,Induction Cooktop Max,Electronics,Small Appliances,Brand30,SUP027,7906.11,8622.01,8.3,True,2019-12-23,0.55
PRD00119,Induction Cooktop Premium,Electronics,Small Appliances,Brand44,SUP168,15380.67,16974.15,9.39,True,2019-03-15,9.96
PRD00120,Induction Cooktop Classic,Electronics,Small Appliances,Brand29,SUP054,17278.86,19714.51,12.35,True,2022-02-12,12.91
PRD00121,Vacuum Cleaner,Electronics,Small Appliances,Brand27,SUP086,1863.99,2137.02,12.78,True,2020-10-25,9.94
PRD00122,Vacuum Cleaner Lite,Electronics,Small Appliances,Brand49,SUP054,17393.83,19092.33,8.9,True,2019-12-24,22.82
PRD00123,Vacuum Cleaner Premium,Electronics,Small Appliances,Brand37,SUP129,6491.52,7279.02,10.82,True,2023-05-14,18.57
PRD00124,Vacuum Cleaner Select,Electronics,Small Appliances,Brand29,SUP089,18519.08,21212.61,12.7,True,2018-09-24,19.97
PRD00125,Vacuum Cleaner Lite,Electronics,Small Appliances,Brand38,SUP092,3889.31,4284.63,9.23,True,2018-12-11,18.01
PRD00126,Vacuum Cleaner Eco,Electronics,Small Appliances,Brand16,SUP070,22144.46,24705.91,10.37,True,2021-05-12,15.08
PRD00127,Vacuum Cleaner Pro,Electronics,Small Appliances,Brand10,SUP068,23252.46,26069.49,10.81,True,2020-10-04,4.16
PRD00128,Vacuum Cleaner Pro,Electronics,Small Appliances,Brand48,SUP146,17439.73,19385.42,10.04,True,2019-06-21,22.04
PRD00129,Vacuum Cleaner Select,Electronics,Small Appliances,Brand10,SUP096,8020.28,8834.13,9.21,True,2021-06-08,1.22
PRD00130,Vacuum Cleaner Elite,Electronics,Small Appliances,Brand33,SUP135,12733.56,14764.57,13.76,True,2020-03-07,7.44
PRD00131,Vacuum Cleaner Classic,Electronics,Small Appliances,Brand46,SUP022,19299.32,22249.69,13.26,True,2023-05-26,1.89
PRD00132,Vacuum Cleaner Elite,Electronics,Small Appliances,Brand28,SUP086,4768.37,5288.01,9.83,True,2018-09-17,13.6
PRD00133,Ceiling Fan,Electronics,Small Appliances,Brand09,SUP022,5406.09,5974.87,9.52,True,2023-07-20,7.47
PRD00134,Ceiling Fan Pro,Electronics,Small Appliances,Brand39,SUP007,10178.78,11363.94,10.43,True,2022-08-26,3.1
PRD00135,Ceiling Fan Lite,Electronics,Small Appliances,Brand14,SUP036,22342.63,24445.53,8.6,True,2023-08-12,11.3
PRD00136,Ceiling Fan Plus,Electronics,Small Appliances,Brand43,SUP115,7258.88,8273.31,12.26,True,2023-07-15,6.29
PRD00137,Ceiling Fan Pro,Electronics,Small Appliances,Brand48,SUP015,7248.16,7962.17,8.97,True,2023-04-14,12.32
PRD00138,Ceiling Fan Premium,Electronics,Small Appliances,Brand22,SUP073,13851.86,15602.35,11.22,True,2018-03-26,12.1
PRD00139,Ceiling Fan Lite,Electronics,Small Appliances,Brand28,SUP192,23665.54,26000.79,8.98,True,2019-11-01,3.06
PRD00140,Ceiling Fan Select,Electronics,Small Appliances,Brand31,SUP015,22822.96,25338.91,9.93,True,2020-07-15,4.76
PRD00141,Ceiling Fan Premium,Electronics,Small Appliances,Brand38,SUP075,24485.9,28115.58,12.91,True,2020-10-25,8.6
PRD00142,Ceiling Fan Pro,Electronics,Small Appliances,Brand40,SUP132,2736.22,3042.08,10.05,True,2021-08-22,5.38
PRD00143,Ceiling Fan Elite,Electronics,Small Appliances,Brand32,SUP151,22983.68,25716.85,10.63,True,2018-04-08,1.65
PRD00144,Ceiling Fan Lite,Electronics,Small Appliances,Brand08,SUP158,12195.22,13368.17,8.77,True,2021-02-25,8.05
PRD00145,Smartphone,Electronics,Consumer Electronics,Brand33,SUP132,18404.22,20624.81,10.77,True,2021-08-26,8.63
PRD00146,Smartphone Select,Electronics,Consumer Electronics,Brand43,SUP117,5682.43,6462.34,12.07,True,2018-04-25,18.77
PRD00147,Smartphone Classic,Electronics,Consumer Electronics,Brand33,SUP035,24560.14,27654.23,11.19,True,2019-09-10,18.49
PRD00148,Smartphone Plus,Electronics,Consumer Electronics,Brand36,SUP118,10917.77,12318.5,11.37,True,2021-04-12,16.21
PRD00149,Smartphone Max,Electronics,Consumer Electronics,Brand23,SUP052,9509.25,10618.8,10.45,True,2018-04-19,16.42
PRD00150,Smartphone Premium,Electronics,Consumer Electronics,Brand17,SUP162,16937.93,18434.56,8.12,True,2019-12-24,6.24
PRD00151,Smartphone Premium,Electronics,Consumer Electronics,Brand14,SUP154,17052.4,18692.92,8.78,True,2018-04-19,22.77
PRD00152,Smartphone Max,Electronics,Consumer Electronics,Brand36,SUP154,6268.46,7063.25,11.25,True,2023-09-07,15.67
PRD00153,Smartphone Max,Electronics,Consumer Electronics,Brand20,SUP089,9002.38,10450.48,13.86,False,2022-07-11,21.89
PRD00154,Smartphone Plus,Electronics,Consumer Electronics,Brand47,SUP170,15717.02,17593.09,10.66,True,2023-11-15,12.3
PRD00155,Smartphone Premium,Electronics,Consumer Electronics,Brand13,SUP081,16226.29,18030.15,10.0,True,2023-04-23,24.46
PRD00156,Smartphone Elite,Electronics,Consumer Electronics,Brand39,SUP022,18840.18,21553.31,12.59,True,2020-09-07,16.16
PRD00157,Tablet,Electronics,Consumer Electronics,Brand30,SUP073,8279.99,9153.9,9.55,True,2020-08-23,21.53
PRD00158,Tablet Pro,Electronics,Consumer Electronics,Brand17,SUP091,5461.44,5939.26,8.05,True,2022-03-04,19.38
PRD00159,Tablet Max,Electronics,Consumer Electronics,Brand50,SUP058,4256.44,4747.33,10.34,True,2019-01-12,15.53
PRD00160,Tablet Eco,Electronics,Consumer Electronics,Brand04,SUP188,23194.98,26934.87,13.88,True,2018-03-08,22.13
PRD00161,Tablet Classic,Electronics,Consumer Electronics,Brand42,SUP116,16950.53,18559.87,8.67,True,2019-07-15,12.57
PRD00162,Tablet Pro,Electronics,Consumer Electronics,Brand50,SUP005,17476.83,19841.12,11.92,True,2023-02-03,18.22
PRD00163,Tablet Elite,Electronics,Consumer Electronics,Brand24,SUP036,24209.19,26872.22,9.91,True,2020-05-19,8.9
PRD00164,Tablet Select,Electronics,Consumer Electronics,Brand42,SUP188,19824.48,22784.85,12.99,True,2020-03-21,20.05
PRD00165,Tablet Elite,Electronics,Consumer Electronics,Brand08,SUP114,12959.89,14958.01,13.36,True,2023-04-05,13.39
PRD00166,Tablet Elite,Electronics,Consumer Electronics,Brand01,SUP018,3139.74,3424.55,8.32,True,2020-02-01,16.34
PRD00167,Tablet Pro,Electronics,Consumer Electronics,Brand08,SUP014,20650.98,22695.38,9.01,True,2023-07-15,20.5
PRD00168,Tablet Max,Electronics,Consumer Electronics,Brand37,SUP118,3724.62,4155.41,10.37,True,2019-03-14,18.78
PRD00169,Laptop,Electronics,Consumer Electronics,Brand11,SUP126,12343.95,13747.18,10.21,True,2019-12-04,2.24
PRD00170,Laptop Pro,Electronics,Consumer Electronics,Brand42,SUP013,5660.55,6223.95,9.05,True,2020-11-04,16.37
PRD00171,Laptop Plus,Electronics,Consumer Electronics,Brand44,SUP191,11974.31,13357.85,10.36,True,2023-06-06,5.6
PRD00172,Laptop Elite,Electronics,Consumer Electronics,Brand37,SUP002,16779.51,18589.06,9.73,True,2021-05-23,17.79
PRD00173,Laptop Select,Electronics,Consumer Electronics,Brand31,SUP075,2190.94,2389.16,8.3,True,2020-04-12,18.97
PRD00174,Laptop Plus,Electronics,Consumer Electronics,Brand20,SUP151,20731.72,23390.61,11.37,True,2019-02-09,14.15
PRD00175,Laptop Lite,Electronics,Consumer Electronics,Brand01,SUP002,17256.42,18838.16,8.4,True,2019-10-18,4.38
PRD00176,Laptop Premium,Electronics,Consumer Electronics,Brand24,SUP169,22206.87,24901.1,10.82,True,2023-05-06,14.69
PRD00177,Laptop Pro,Electronics,Consumer Electronics,Brand11,SUP179,6105.4,6944.04,12.08,True,2018-02-12,4.49
PRD00178,Laptop Plus,Electronics,Consumer Electronics,Brand17,SUP069,4696.49,5408.32,13.16,True,2020-07-10,6.69
PRD00179,Laptop Premium,Electronics,Consumer Electronics,Brand45,SUP007,15722.99,17322.24,9.23,True,2023-10-03,2.97
PRD00180,Laptop Plus,Electronics,Consumer Electronics,Brand43,SUP193,15933.52,17457.91,8.73,True,2022-09-15,24.92
PRD00181,Smart TV,Electronics,Consumer Electronics,Brand17,SUP094,2598.76,2900.65,10.41,True,2023-11-22,4.34
PRD00182,Smart TV Max,Electronics,Consumer Electronics,Brand25,SUP058,24254.85,27250.14,10.99,True,2023-10-11,14.66
PRD00183,Smart TV Plus,Electronics,Consumer Electronics,Brand10,SUP197,4542.62,5043.24,9.93,True,2018-01-16,9.03
PRD00184,Smart TV Premium,Electronics,Consumer Electronics,Brand32,SUP076,11045.91,12354.1,10.59,True,2023-09-11,8.3
PRD00185,Smart TV Lite,Electronics,Consumer Electronics,Brand24,SUP059,12028.0,13576.79,11.41,True,2021-05-09,8.71
PRD00186,Smart TV Elite,Electronics,Consumer Electronics,Brand09,SUP101,10348.89,11318.65,8.57,True,2022-11-06,14.11
PRD00187,Smart TV Max,Electronics,Consumer Electronics,Brand42,SUP195,19084.63,21098.37,9.54,True,2023-02-19,1.41
PRD00188,Smart TV Pro,Electronics,Consumer Electronics,Brand47,SUP185,23487.42,26200.45,10.35,False,2021-08-02,17.04
PRD00189,Smart TV Lite,Electronics,Consumer Electronics,Brand38,SUP031,14614.83,15913.22,8.16,True,2023-03-13,0.24
PRD00190,Smart TV Premium,Electronics,Consumer Electronics,Brand44,SUP198,19805.61,22002.39,9.98,True,2020-01-08,4.1
PRD00191,Smart TV Plus,Electronics,Consumer Electronics,Brand27,SUP049,19533.49,21942.7,10.98,True,2023-10-24,4.77
PRD00192,Smart TV Eco,Electronics,Consumer Electronics,Brand19,SUP024,15347.27,17695.23,13.27,True,2018-07-14,14.15
PRD00193,Monitor,Electronics,Consumer Electronics,Brand22,SUP187,24336.19,27543.11,11.64,True,2020-02-04,19.89
PRD00194,Monitor Classic,Electronics,Consumer Electronics,Brand16,SUP147,20989.09,23245.38,9.71,False,2023-12-15,11.65
PRD00195,Monitor Eco,Electronics,Consumer Electronics,Brand34,SUP023,17568.69,19302.08,8.98,True,2020-02-02,11.6
PRD00196,Monitor Max,Electronics,Consumer Electronics,Brand07,SUP115,13678.16,15078.33,9.29,True,2019-03-03,23.69
PRD00197,Monitor Lite,Electronics,Consumer Electronics,Brand49,SUP050,10960.74,12577.42,12.85,True,2018-12-24,15.89
PRD00198,Monitor Lite,Electronics,Consumer Electronics,Brand02,SUP041,11517.68,12881.36,10.59,True,2021-06-26,1.11
PRD00199,Monitor Max,Electronics,Consumer Electronics,Brand46,SUP078,17931.85,19882.43,9.81,True,2018-10-23,3.03
PRD00200,Monitor Select,Electronics,Consumer Electronics,Brand08,SUP145,2961.43,3404.27,13.01,True,2021-11-16,9.99
PRD00201,Monitor Plus,Electronics,Consumer Electronics,Brand49,SUP058,11888.25,12975.42,8.38,True,2019-07-08,24.11
PRD00202,Monitor Plus,Electronics,Consumer Electronics,Brand36,SUP109,3760.08,4332.08,13.2,True,2022-08-23,23.59
PRD00203,Monitor Elite,Electronics,Consumer Electronics,Brand28,SUP078,4516.72,5178.22,12.77,True,2021-03-27,17.65
PRD00204,Monitor Premium,Electronics,Consumer Electronics,Brand20,SUP056,12767.1,14303.02,10.74,True,2020-02-03,2.03
PRD00205,Camera,Electronics,Consumer Electronics,Brand47,SUP168,19648.48,21996.97,10.68,False,2021-04-05,5.22
PRD00206,Camera Lite,Electronics,Consumer Electronics,Brand26,SUP133,24187.68,26671.38,9.31,True,2023-01-07,1.32
PRD00207,Camera Plus,Electronics,Consumer Electronics,Brand10,SUP030,5134.72,5604.36,8.38,True,2021-04-15,15.69
PRD00208,Camera Premium,Electronics,Consumer Electronics,Brand31,SUP131,6253.27,7171.47,12.8,True,2023-02-10,2.36
PRD00209,Camera Eco,Electronics,Consumer Electronics,Brand48,SUP170,6810.9,7620.76,10.63,True,2020-02-15,4.65
PRD00210,Camera Plus,Electronics,Consumer Electronics,Brand34,SUP033,9008.01,10226.98,11.92,True,2020-10-20,4.3
PRD00211,Camera Premium,Electronics,Consumer Electronics,Brand06,SUP118,23282.32,25620.84,9.13,True,2020-01-14,10.97
PRD00212,Camera Max,Electronics,Consumer Electronics,Brand24,SUP185,24629.84,27648.41,10.92,True,2020-09-17,5.78
